DCID	Label	Drugs	Target
DC000539	N	ketorolac|morphine|ropivacaine|epinephrine	ADRA2B|ADRB2|PAH|ADRB1|ADRA2A|PTGS1|ADRA1A|ADRA1B|OPRK1|OPRD1|ADRA1D|SCN10A|OPRM1|PTGS2
DC000543	N	rapamycin|mycophenolate mofetil	IMPDH2|FKBP1A|MTOR|IMPDH1|FGF2
DC000561	N	nateglinide|valsartan	ABCC8|AGTR1|PPARG
DC000566	P	docetaxel|epirubicin|lapatinib|cyclophosphamide	MAP4|MAP2|TOP2A|CHD1|BCL2|ERBB2|MAPT|EGFR|TUBB1
DC000573	N	amantadine|interferon alfa-2b|ribavirin	ADK|ENPP1|NT5C2|DRD2|IFNAR1|IMPDH1|GRIN3A|IFNAR2
DC000581	N	rituximab|cyclophosphamide|vincristine|etoposide|doxorubicin	C1QA|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|TUBA4A|TOP2A|C1QC|C1QB|TUBB|C1S|FCGR3B|TOP2B|FCGR3A|FCGR1A
DC000583	N	enoxaparin|warfarin	F10|VKORC1|SERPINC1
DC000594	N	gemcitabine|cetuximab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|RRM1|EGFR|CMPK1|FCGR3A|FCGR1A
DC000610	N	rapamycin|tirofiban	FKBP1A|MTOR|ITGA2B|ITGB3|FGF2
DC000611	N	mercaptopurine|idarubicin|tretinoin|methotrexate	RARG|TOP2A|HPRT1|RARRES1|RXRB|ALDH1A1|DHFR|ALDH1A2|RXRG|GPRC5A|NR0B1
DC000616	P	cyclophosphamide|paclitaxel|doxorubicin|trastuzumab	C1QA|MAP4|MAP2|FCGR2A|FCGR2B|C1R|FCGR2C|TOP2A|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|NR1I2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC000623	N	saxagliptin|rosiglitazone	DPP4|ACSL4|PPARG
DC000629	N	prednisone|mycophenolate mofetil|rituximab	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|IMPDH2|C1QC|C1QB|C1S|FCGR3B|IMPDH1|NR3C1|FCGR3A|HSD11B1
DC000649	N	lapatinib|paclitaxel	MAP4|MAP2|BCL2|ERBB2|NR1I2|MAPT|EGFR|TUBB1
DC000652	N	cisplatin|doxorubicin	TOP2A
DC000654	N	donepezil|cerebrolysin	HTR2A|ACHE
DC000690	N	praziquantel|albendazole|ivermectin	TUBA1A|GLRA3|GABRB3|TUBB4B
DC000697	N	valproic acid|risperidoene	HTR2C|HTR1A|ADRA2B|OGDH|ADRA2C|ADRA2A|DRD1|DRD2|ADRA1A|DRD3|ADRA1B|HDAC9|HTR2A|ACADSB|HTR1D|ALDH5A1|HRH1|DRD4|ABAT
DC000699	N	prednisone|bortezomib|melphalan	PSMB5|PSMB1|PSMB2|NR3C1|PSMD2|PSMD1|HSD11B1
DC000703	N	temozolomide|dacarbazine	PGD|POLA2
DC000705	N	octreotide|midodrine	SSTR1|SSTR2|SSTR5|ADRA1A|ADRA1B
DC000713	N	irinotecan|fluorouracil|bevacizumab|leucovorin	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|TOP1|C1QC|C1QB|TYMS|FCGR3B|VEGFA|TOP1MT|FCGR3A|FCGR1A
DC000720	N	norepinephrine|terlipressin	ADRA2B|ADRB2|AVPR2|ADRB3|AVPR1B|AVPR1A|PAH|ADRA2C|ADRB1|ADRA2A|ADRA1A|ADRA1B|ADRA1D
DC000725	N	capecitabine|paclitaxel	MAP4|MAP2|TYMS|BCL2|NR1I2|MAPT|TUBB1
DC000730	N	conjugated estrogen|tolterodine	CHRM3|ESR1|CHRM5|CHRM1|CHRM4|CHRM2
DC000743	N	fluoxetine|venlafaxine|quetiapine	ADRA2A|SLC6A4|CHRM3|CHRM1|HTR6|CHRM4|CHRM2|HTR2C|SLC6A3|HTR1A|DRD2|DRD3|CHRM5|HTR2A|HTR3A|DRD5|HTR1B|HRH1|DRD4|ADRA2B|ADRA1A|SLC6A2|HTR7|ADRA2C|DRD1|ADRA1B|HTR1E|ADRA1D|HTR1D
DC000747	P	neratinib|vinorelbine	ERBB2|TUBB
DC000750	N	lovaza|simvastatin	HMGCR|ITGB2
DC000754	P	neratinib|paclitaxel|cyclophosphamide|trastuzumab|doxorubicin	C1QA|MAP4|MAP2|FCGR2A|FCGR2B|C1R|FCGR2C|TOP2A|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|NR1I2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC000755	N	fluorouracil|bevacizumab|irinotecan	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|TOP1|C1QC|C1QB|TYMS|FCGR3B|VEGFA|TOP1MT|FCGR3A|FCGR1A
DC000756	N	calcium carbonate|cholecalciferol	VDR
DC000758	N	pegfilgrastim|rituximab|sargramostim|etoposide|ifosfamide	C1QA|ELANE|FCGR3B|MS4A1|PRG2|C1S|IL3RA|FCGR3A|FCGR1A|FCGR2A|TOP2B|SDC2|FCGR2B|C1R|FCGR2C|TOP2A|C1QC|C1QB|CSF2RB|CSF2RA|CSF3R
DC000761	N	isophane insulin|insulin	IGF1R|RB1|PCSK2|IGFBP7|SYTL4|INSR|CPE|LRP2|PCSK1|NOV|IDE|CTSD
DC000764	N	albinterferon alfa-2b|ribavirin	ENPP1|IMPDH1|NT5C2|ADK
DC000766	N	cyclosporine|mycophenolate mofetil|basiliximab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|IMPDH2|PPIA|C1QC|C1QB|IL2RB|PPP3R2|CAMLG|FCGR3B|C1S|IL2RA|IMPDH1|FCGR3A|FCGR1A
DC000770	N	dapagliflozin|metformin	PRKAB1
DC000772	N	irinotecan|fluorouracil|cetuximab|leucovorin	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|TOP1|C1QC|C1QB|TYMS|C1S|FCGR3B|TOP1MT|EGFR|FCGR3A|FCGR1A
DC000773	N	fingolimod|interferon beta 1	IFNAR1|S1PR5|IFNAR2
DC000775	N	salmeterol|gsk2190915|fluticasone propionate	ADRB2|NR3C2|ALOX5AP|PLA2G4A|PGR|NR3C1
DC000779	N	tipifarnib|fulvestrant	SLC6A3|ESR1
DC000781	N	interferon beta 1|teriflunomide	DHODH|IFNAR1|IFNAR2
DC000782	N	pregabalin|oxycodone	OPRK1|OPRM1|OPRD1|CACNA1A
DC000794	N	sunitinib|capecitabine	FLT3|FLT4|PDGFRA|TYMS|KDR|CSF1R|PDGFRB|FLT1|KIT
DC000807	N	ketorolac|ropivacaine|epinephrine	ADRA2B|ADRB2|PAH|ADRB1|ADRA2A|PTGS1|ADRA1A|ADRA1B|ADRA1D|SCN10A|PTGS2
DC000813	N	docetaxel|vandetanib	MAP4|MAP2|PTK6|VEGFA|BCL2|TEK|MAPT|EGFR|TUBB1
DC000834	N	docetaxel|cisplatin|pemetrexed	MAP4|MAP2|ATIC|GART|TYMS|BCL2|DHFR|MAPT|TUBB1
DC000854	N	azacitidine|valproic acid|tretinoin	RARG|RARRES1|RXRB|ALDH1A1|HDAC9|RXRG|ACADSB|ALDH1A2|GPRC5A|DNMT1|ALDH5A1|NR0B1|OGDH|ABAT
DC000859	N	tretinoin|cytarabine|daunorubicin|mercaptopurine|methotrexate|arsenic trioxide	RARG|TOP2A|MAPK3|IKBKB|AKT1|GPRC5A|HPRT1|RARRES1|RXRB|POLB|MAPK1|TOP2B|RXRG|TXNRD1|CCND1|ALDH1A2|ALDH1A1|DHFR|NR0B1|JUN
DC000863	N	tolterodine|clobazam|clonazepam	GABRA5|GABRR1|GABRG3|GABRB1|CHRM3|GABRP|GABRG1|GABRR3|GABRA4|CHRM1|CHRM4|CHRM2|GABRA6|GABRQ|CHRM5|GABRR2|GABRB3|GABRG2|GABRE|GABRA3|GABRD|GABRA1|TSPO|GABRB2|GABRA2
DC000867	N	abt-751|pemetrexed	ATIC|TUBB|GART|TYMS|DHFR
DC000875	N	moxifloxacin|ethambutol|pyrazinamide|rifampin	NR1I2|TOP2A
DC000891	N	fluorouracil|panitumumab|leucovorin|oxaliplatin	EGFR|TYMS
DC000898	N	pixantrone|prednisone|rituximab|cyclophosphamide|vincristine	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|TUBA4A|C1QC|C1QB|TUBB|C1S|FCGR3B|NR3C1|FCGR3A|HSD11B1
DC000901	N	ezetimibe|atorvastatin	NPC1L1|DPP4|ANPEP|HMGCR|AHR|SOAT1
DC000912	N	docetaxel|zibotentan	MAP4|MAP2|EDNRA|BCL2|MAPT|EDNRB|TUBB1
DC000922	N	moxifloxacin|meropenem	TOP2A
DC000926	N	artesunate|amodiaquine|primaquine	HNMT|KRT7|NQO2
DC000931	N	lubiprostone|polyethylene glycol	CLCN2
DC000951	N	methylprednisolone|folic acid|methotrexate|rituximab	C1QA|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|FOLR3|FOLR2|C1S|FCGR3B|DHFR|NR3C1|FCGR3A|FCGR1A
DC000956	N	pioglitazone|metformin|alogliptin	DPP4|PRKAB1|PPARG
DC000966	N	iplex|somatokine	INSR|IGF2R|IGFBP3|IGF1R
DC000967	N	tiotropium|arformoterol	ADRB2|CHRM1|CHRM2|CHRM3
DC000971	N	carboplatin|fluorouracil|cetuximab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|EGFR|FCGR3A|FCGR1A
DC000980	N	glimepiride|sitagliptin|metformin	DPP4|KCNJ11|ABCC8|KCNJ1|PRKAB1
DC000988	N	decitabine|romiplostim	DNMT1|MPL
DC000995	N	defibrotide|prednisone|melphalan|thalidomide	PTGS2|ADORA1|CRBN|ADORA2B|TNF|NFKB1|NR3C1|FGFR2|ADORA2A|HSD11B1
DC000998	N	dexamethasone|fosaprepitant|ondansetron|aprepitant	HTR1A|ANXA1|TACR1|NR0B1|NOS2|HTR3A|NR3C1|HTR4|OPRM1|HTR1B
DC001016	N	pioglitazone|glipizide|sitagliptin|metformin	PPARG|DPP4|PRKAB1|ABCC8
DC001017	N	docetaxel|cetuximab	C1QA|MAP2|MAP4|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC001030	N	fluorouracil|leucovorin	TYMS
DC001041	N	amiloride|chlorthalidone	PLAU|SCNN1D|SCNN1A|ASIC2|SLC9A1|SLC12A1|ASIC1|AOC1|SCNN1G|SCNN1B
DC001044	N	prednisone|dexamethasone|cyclophosphamide|vincristine|melphalan|doxorubicin	TOP2A|TUBA4A|TUBB|NOS2|NR3C1|ANXA1|NR0B1|HSD11B1
DC001046	N	reteplase|abciximab	C1QA|FGA|FCGR2A|C1R|FCGR2C|VTN|FCGR2B|C1QC|SERPINE1|C1QB|ITGA2B|C1S|PLAUR|PLG|FCGR3B|ITGB3|FCGR3A|FCGR1A
DC001054	N	capecitabine|bevacizumab	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|C1QC|C1QB|TYMS|FCGR3B|VEGFA|FCGR3A|FCGR1A
DC001057	N	fluorouracil|cetuximab|leucovorin|oxaliplatin	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|EGFR|FCGR3A|FCGR1A
DC001070	P	docetaxel|trastuzumab	C1QA|MAP2|MAP4|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC001072	N	bortezomib|rituximab|bendamustine	C1QA|PSMB5|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|PSMB1|C1S|PSMB2|FCGR3B|PSMD2|PSMD1|FCGR3A|FCGR1A
DC001074	N	methylprednisolone|interferon beta 1a	NR3C1|IFNAR1|IFNAR2
DC001077	N	hydroxychloroquine|methotrexate|sulfasalazine	PTGS2|IKBKB|PTGS1|SLC7A11|CHUK|TLR9|TLR7|DHFR|ALOX5|ACAT1|PPARG
DC000423	N	valproic acid|lamotrigine	HDAC9|ACADSB|ALDH5A1|SCN2A|OGDH|ABAT
DC000424	N	3-brop|rapamycin	FKBP1A|MTOR|FGF2
DC000425	N	gabapentin|valproic acid	ADORA1|CACNA1B|CACNA2D1|HDAC9|CACNA2D2|ACADSB|ALDH5A1|OGDH|ABAT
DC000426	N	gabapentin|carbamazepine	ADORA1|CACNA1B|CACNA2D1|CACNA2D2|SCN5A
DC000427	N	cimetidine|fexofenadine	HRH2|HRH1
DC000428	N	tetracycline|diclofenac	KCNQ2|PTGS1|PLA2G2A|ASIC1|SCN4A|ALOX5|KCNQ3|PRNP|PTGS2
DC000429	N	tetracycline|naproxen	PTGS1|PRNP|PTGS2
DC000430	N	fenofibrate|simvastatin	HMGCR|PPARA|ITGB2
DC000432	N	levetiracetam|oxcarbazepine	SV2A|CACNA1B|SCN5A
DC000433	N	lapatinib|topotecan	ERBB2|TOP1MT|EGFR|TOP1
DC000434	N	iloprost|sildenafil	PDE6G|PDE4D|PTGER1|PDE4C|PTGIR|PDE6H|PLAT|PDE4B|PDE4A|PDE5A
DC000435	N	gabapentin|oxcarbazepine	ADORA1|CACNA1B|CACNA2D1|CACNA2D2|SCN5A
DC000436	N	ramipril|aliskiren	ACE|REN
DC000437	N	st-91|dexmedetomidine	ADRA2A
DC000019	N	articaine hydrochloride|epinephrine	ADRA2B|ADRB2|PAH|ADRB1|ADRA2A|ADRA1A|ADRA1B|BCL2|ADRA1D
DC000020	N	ibuprofen|diphenhydramine	PTGS2|THBD|PTGS1|PLAT|FABP2|BCL2|CFTR|HRH1|PPARG
DC000021	N	tamoxifen|interferon alfa	PRKCA|ESR1|ESR2|PRKCB
DC000022	N	amoxicillin|omeprazole	ATP4A
DC000023	N	rifabutin|ethambutol|clofazimine|isoniazid	HSP90AA1|HSP90B1
DC000024	N	cytarabine|cisplatin	POLB
DC000025	N	rabeprazole|methotrexate	ATP4A|DHFR
DC000026	N	proguanil|atovaquone	DHODH|DHFR
DC000027	N	caffeine|orphenadrine|aspirin	AKR1C1|HRH1|ADORA1|PTGS1|RYR1|GRIN1|PDE4B|SLC6A2|GRIN2D|SCN10A|GRIN3A|GRIN3B|ADORA2A|PTGS2
DC000029	N	cisplatin|altretamine|fluorouracil|cyclophosphamide	TYMS
DC000030	N	fentanyl|diazepam	GABRA5|GABRR1|GABRG3|GABRB1|GABRP|GABRG1|GABRR3|GABRQ|GABRR2|GABRB3|GABRG2|OPRK1|OPRD1|GABRE|GABRA3|GABRD|GABRA1|TSPO|GABRB2|GABRA2|OPRM1
DC000195	N	glyburide|alogliptin	DPP4|KCNJ11|ABCC8|ABCA1|KCNJ5|KCNJ1|ABCB11|CFTR|ABCC9
DC000197	N	polymyxin b sulfate|trimethoprim	DHFR|TYMS
DC000198	N	prednisolone|sulfacetamide	NR3C1
DC000199	N	lamotrigine|oxcarbazepine	SCN2A|SCN5A
DC000201	N	clindamycin|tretinoin	RARG|RARRES1|RXRB|ALDH1A1|RXRG|ALDH1A2|GPRC5A|NR0B1
DC000202	N	rosuvastatin|gemfibrozil	HMGCR|PPARA
DC000203	N	fluorouracil|"2'-deoxyinosine"	TYMS
DC000204	N	paclitaxel|doxorubicin	MAP4|MAP2|TOP2A|BCL2|NR1I2|MAPT|TUBB1
DC000205	N	pseudoephedrine|chlorpheniramine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000206	N	hydrocodone|chlorpheniramine	SLC6A3|SLC6A4|OPRD1|SLC6A2|OPRM1|HRH1
DC000207	N	imipenem|cilastatin	DPEP1
DC000209	N	pseudoephedrine|fexofenadine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000210	N	pseudoephedrine|desloratadine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000211	N	probenecid|colchicine	SLC22A11|TUBB|SLC22A6|SLC22A8|PANX1|TUBB1
DC000212	N	bortezomib|lenalidomide	PSMB5|PSMB1|TNFSF11|PSMB2|VEGFA|CDH5|PSMD2|PSMD1|CRBN|PTGS2
DC000213	N	pseudoephedrine|triprolidine|codeine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|OPRK1|OPRD1|SLC6A2|OPRM1|HRH1
DC000214	N	adapalene|benzoyl peroxide	RARB|RARG|RXRB|RXRG|RXRA|RARA
DC000215	N	codeine|promethazine	CALM1|HRH1|DRD2|ADRA1A|CHRM3|OPRK1|CHRM5|HTR2A|CHRM1|OPRD1|CHRM4|OPRM1|CHRM2
DC000217	N	phenylephrine|codeine|promethazine	CALM1|HRH1|CHRM3|ADRA1A|ADRA1B|OPRK1|DRD2|HTR2A|CHRM1|ADRA1D|OPRD1|CHRM5|CHRM4|OPRM1|CHRM2
DC000218	N	cisplatin|rapamycin	FKBP1A|MTOR|FGF2
DC000219	N	methotrexate|pantoprazole	ATP4A|DHFR
DC000220	N	lapatinib|letrozole	ERBB2|CYP19A1|EGFR
DC000222	N	docetaxel|carboplatin|trastuzumab	C1QA|MAP4|MAP2|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC000223	N	pseudoephedrine|triprolidine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000224	P	methylseleninic acid|tamoxifen	ESR1|ESR2
DC000225	N	gemcitabine|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|RRM1|ERBB2|EGFR|CMPK1|FCGR3A|FCGR1A
DC000031	N	cisplatin|doxorubicin|fluorouracil	TOP2A|TYMS
DC000032	N	captopril|hydrochlorothiazide	MMP2|KCNMA1|ACE|MMP9|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000033	N	oxycodone|aspirin	AKR1C1|PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000034	N	hydrochlorothiazide|candesartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9
DC000035	N	carisoprodol|aspirin	AKR1C1|PTGS1|PTGS2
DC000036	N	aspirin|meprobamate	AKR1C1|GABRA5|GABRA1|PTGS1|GABRA6|GABRA3|GABRA4|GABRA2|PTGS2
DC000037	N	naproxen|sumatriptan	HTR1A|HTR1F|PTGS1|HTR1B|HTR1D|PTGS2
DC000038	N	aspirin|caffeine|butalbital	AKR1C1|CHRNA4|GABRA5|GABRA1|GABRA4|ADORA1|GRIA2|PTGS1|RYR1|GABRA6|GRIK2|GABRA3|PDE4B|CHRNA7|GABRA2|ADORA2A|PTGS2
DC000039	N	carisoprodol|codeine|aspirin	AKR1C1|PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000040	N	aspirin|caffeine|codeine|butalbital	AKR1C1|CHRNA4|GABRA5|GABRA1|GABRA4|ADORA1|GRIA2|PTGS1|RYR1|GABRA6|GRIK2|OPRK1|GABRA3|PDE4B|OPRD1|CHRNA7|GABRA2|OPRM1|ADORA2A|PTGS2
DC000041	N	dihydrocodeine|aspirin	AKR1C1|PTGS1|PTGS2
DC000042	N	hydrochlorothiazide|telmisartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9|PPARG
DC000043	N	hydrochlorothiazide|spironolactone	NR3C2|KCNMA1|AR|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000044	N	hydrochlorothiazide|valsartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9
DC000045	N	hydrochlorothiazide|triamterene	KCNMA1|SCNN1D|SCNN1A|SCNN1B|CA4|CA1|CA2|SLC12A3|CA12|SCNN1G|CA9
DC000046	N	felodipine|enalapril	PDE1B|CALM1|TNNC2|CACNA1H|CACNA1D|NR3C2|CACNA1C|ACE|CACNA1S|CACNA2D1|PDE1A|CACNB2|CACNA2D2|TNNC1
DC000047	N	verapamil|trandolapril	CACNA1C|KCNJ11|CACNA1D|CACNB3|CACNB4|ACE|CACNA1B|CACNA1G|SLC6A4|CACNA1S|CACNB2|CACNA1A|KCNH2|CACNA1I|SCN5A|CACNA1F|CACNB1
DC000048	N	methocarbamol|aspirin	CA1|AKR1C1|PTGS1|PTGS2
DC000049	N	hydrochlorothiazide|eprosartan	KCNMA1|CA4|CA1|CA2|SLC12A3|CA12|AGTR1|CA9
DC000050	N	hydrochlorothiazide|enalapril	KCNMA1|ACE|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000051	N	flavopiridol|phorbol 12-myristate-13-acetate	CDK1|PYGM|CDK9|CDK7|CDK6|CDK4|CDK2|EGFR|CDK8|CDK5
DC000052	N	pefloxacin|ceftazidime	TOP2A
DC000056	N	atenolol|chlorthalidone	ADRB1|SLC12A1
DC000057	N	ergotamine|caffeine	ADRA2B|ADORA1|RYR1|ADRA2A|DRD2|ADRA1A|ADRA1B|HTR2A|PDE4B|SLC6A2|ADRA1D|HTR1B|HTR1D|ADORA2A
DC000058	N	ibuprofen|hydrocodone	THBD|PTGS1|PLAT|FABP2|PPARG|BCL2|OPRD1|CFTR|OPRM1|PTGS2
DC000059	N	clozapine|fluoxetine	ADRA2A|SLC6A4|CHRM3|CHRM1|HTR6|CALY|CHRM4|CHRM2|HTR2C|HTR1A|DRD2|DRD3|CHRM5|HTR2A|HTR3A|HTR1B|HRH1|DRD4|ADRA2B|ADRA1A|HTR7|HRH4|ADRA2C|DRD1|ADRA1B|HTR1E|HTR1D
DC000060	N	indinavir|didanosine|zidovudine	TERT|PNP
DC000061	N	acetaminophen|ketoprofen	PTGS1|CXCR1|PTGS2
DC000064	N	amitriptyline|chlordiazepoxide	GABRA5|GABRR1|GABRG3|ADRA2A|GABRB1|CHRM3|SLC6A4|GABRP|CHRM1|GABRG1|GABRA4|GABRR3|CHRM4|CHRM2|HTR1A|GABRA6|GABRQ|CHRM5|HTR2A|KCNA1|KCND2|GABRR2|HRH1|NTRK1|GABRB3|KCNQ2|GABRG2|ADRA1A|OPRK1|OPRD1|SLC6A2|KCND3|GABRE|NTRK2|GABRA3|GABRD|GABRA1|ADRA1D|GABRB2|GABRA2
DC000065	N	salbutamol|ipratropium	ADRB2|ADRB1|CHRM3|CHRM1|CHRM2
DC000066	N	pseudoephedrine|acrivastine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2
DC000067	N	pramoxine|hydrocortisone	NR3C1|ANXA1
DC000068	N	dexbrompheniramine|acetaminophen|pseudoephedrine	SLC6A3|ADRB2|PTGS1|ADRA2A|ADRB1|SLC6A4|ADRA1A|SLC6A2|HRH1|PTGS2
DC000069	N	acetaminophen|clemastine|pseudoephedrine	SLC6A3|ADRB2|PTGS1|ADRA2A|ADRB1|SLC6A4|ADRA1A|SLC6A2|HRH1|PTGS2
DC000070	N	loratadine|pseudoephedrine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000071	N	ibuprofen|oxycodone	THBD|PTGS1|PLAT|FABP2|OPRK1|BCL2|PPARG|OPRD1|CFTR|OPRM1|PTGS2
DC000072	N	pentazocine|naloxone	TLR4|SIGMAR1|ESR1|OPRK1|OPRD1|CREB1|OPRM1
DC000073	N	timolol|dorzolamide	ADRB2|ADRB1|CA4|CA1|CA2
DC000074	N	ciprofloxacin|dexamethasone	TOP2A|NOS2|NR3C1|ANXA1|NR0B1
DC000075	N	ciprofloxacin|hydrocortisone	NR3C1|ANXA1|TOP2A
DC000076	N	hydrochlorothiazide|bisoprolol	ADRB2|KCNMA1|ADRB1|CA4|CA1|CA2|SLC12A3|CA12|CA9
DC000077	N	hydrocortisone|oxytetracycline	NR3C1|ANXA1
DC000078	N	neomycin|polymyxin b sulfate|hydrocortisone	NR3C1|ANXA1
DC000079	N	thonzonium bromide|neomycin|hydrocortisone|colistin	NR3C1|ANXA1
DC000080	N	dexamethasone|tobramycin	NR3C1|ANXA1|NR0B1|NOS2
DC000081	N	tropicamide|dextromethorphan	GRIN3A|SIGMAR1|CHRM3|SLC6A4|CHRM1|CHRM4|CHRNA2|CHRM2
DC000082	N	ibuprofen|pseudoephedrine	SLC6A3|ADRB2|THBD|ADRB1|ADRA2A|PTGS1|PLAT|SLC6A4|ADRA1A|FABP2|PPARG|BCL2|SLC6A2|CFTR|PTGS2
DC000083	N	arzoxifene|lg100268	RXRB|ADA|POLA1
DC000084	N	docetaxel|cisplatin|fluorouracil	MAP4|MAP2|TYMS|BCL2|MAPT|TUBB1
DC000085	N	raclopride|topiramate	SCN1A|GRIK1|GABRA1|CDK9|CDK7|CA4|CA2|CDK5
DC000086	N	methdilazine|prochlorperazine	HRH1|DRD2
DC000087	N	streptomycin|amlodipine	CACNA1C|CACNA1D|CACNA2D3|CACNA1B|CA1|CACNA1S|CACNA2D1|CACNB2|CACNB1
DC000088	N	fludarabine|rituximab	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|RRM1|DCK|FCGR3A|POLA1
DC000089	N	gefitinib|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000092	N	endomorphin-1|dexmedetomidine	ADRA2A
DC000093	N	cytarabine|trimidox	POLB|PLA2G4A
DC000094	N	endomorphin-1|ketamine	TACR1|GRIN3A|DRD2
DC000096	N	carboplatin|paclitaxel|sorafenib	MAP4|MAP2|BRAF|FGFR1|RAF1|FLT3|FLT4|RET|KDR|BCL2|PDGFRB|NR1I2|MAPT|TUBB1|FLT1|KIT
DC000098	N	lamivudine|abacavir|zidovudine	TERT
DC000099	N	dexamethasone|bortezomib|thalidomide	PSMB5|PSMB1|PSMD1|CRBN|PSMB2|NOS2|TNF|PSMD2|NFKB1|NR3C1|ANXA1|NR0B1|FGFR2|PTGS2
DC000101	N	lamivudine|zidovudine	TERT
DC000102	N	bevacizumab|cetuximab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|VEGFA|EGFR|FCGR3A|FCGR1A
DC000104	N	torcetrapib|atorvastatin	DPP4|AHR|HMGCR
DC000106	N	hydroxyurea|magnesium pidolate	RRM1
DC000108	N	rapamycin|cyclosporine	PPIA|FKBP1A|MTOR|CAMLG|PPP3R2|FGF2
DC000109	N	lidocaine|tetracaine	SCN9A|SCN10A|EGFR|SCN5A
DC000110	N	acetaminophen|codeine|aspirin	AKR1C1|PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000111	N	lidocaine|prilocaine	SCN9A|SCN10A|EGFR|SCN5A
DC000112	N	acetaminophen|caffeine|aspirin	AKR1C1|ADORA1|PTGS1|RYR1|PDE4B|ADORA2A|PTGS2
DC000113	N	lovastatin|niacin	NNMT|HMGCR|HDAC2|QPRT|HCAR3|ITGAL|HCAR2
DC000114	N	loteprednol etabonate|tobramycin	NR3C1
DC000115	N	acetaminophen|butalbital	CHRNA4|GABRA5|GABRA1|GABRA4|GRIA2|PTGS1|GABRA6|GRIK2|GABRA3|CHRNA7|GABRA2|PTGS2
DC000116	N	isoniazid|rifampin	NR1I2
DC000117	N	isoniazid|pyrazinamide|rifampin	NR1I2
DC000118	N	mepivacaine|levonordefrin	SCN10A|SLC6A2|ADRA1A
