goserelin	LHCGR|GNRHR
acebutolol	ADRB1
brinzolamide	CA2
flecainide	SCN5A|SCN4A
estramustine	MAP2|MAP1A|ESR1|ESR2
captopril	ACE
zopiclone	GABRA1|GABRA2|GABRA3|GABRA5
tubocurarine	CHRNA2|HTR3A
bromocriptine	DRD2|DRD3
levetiracetam	SV2A|CACNA1B
nadolol	ADRB1
mitoxantrone	TOP2A
flumazenil	GABRA1|GABRG2|GABRA5|GABRA1
sparfloxacin	TOP2A
dezocine	OPRM1|OPRK1
levobunolol	ADRB2|ADRB1
fomepizole	ADH1A|ADH1B|ADH1C|CAT
metipranolol	ADRB2|ADRB1
estazolam	GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRA1
finasteride	SRD5A2
anastrozole	CYP19A1
halofantrine	KCNH2
dantrolene	RYR1
ketamine	GRIN3A|HTR3A|BCHE|NOS1
budesonide	NR3C1
aminophylline	PDE3A|ADORA1|ADORA3|HDAC2
quetiapine	HTR2A|DRD2
enoxaparin	SERPINC1|F10
mivacurium	CHRNA2
levacetylmethadol	OPRM1
encainide	SCN5A
paclitaxel	TUBB1|BCL2|MAP4|MAP2|MAPT
diphenidol	CHRM1|CHRM3|CHRM2
metoclopramide	DRD2|CHRM1
dexamethasone	NR3C1
levodopa	DRD1|DRD5|DRD2|DRD3|DRD4
sevoflurane	GABRA1|GLRA1|GRIA1|KCNA1|ATP2C1|GABRA1
bromodiphenhydramine	HRH1
aripiprazole	HTR2A|DRD2
epoprostenol	P2RY12|PTGIR|PTGIS
gemfibrozil	PPARA
clomipramine	SLC6A4|HTR2A|HTR2B|HTR2C
bepridil	CACNA1A|CACNA1H|CACNA2D2
decamethonium	CHRNA2
alimemazine	HRH1
isocarboxazid	MAOA|MAOB
docetaxel	TUBB1|MAP2|MAP4|MAPT
olsalazine	TPMT|IFNG
gliquidone	ABCC8|KCNJ8
ergometrine	ADRA1A
dasatinib	ABL1|SRC|EPHA2|LCK|YES1
lapatinib	EGFR|ERBB2
desonide	NR3C1
sitagliptin	DPP4
decitabine	DNMT1
paliperidone	HTR2A|DRD2|DRD4|DRD3|HTR2C
sunitinib	PDGFRB|FLT1|KIT|KDR|FLT4|FLT3|CSF1R|PDGFRA
varenicline	CHRNA4
arformoterol	ADRB2
hydralazine	AOC3
carbetocin	OXTR
lumiracoxib	PTGS2|PTGS1
fenoterol	ADRB2
pirbuterol	ADRB2
glucosamine	MMP9
practolol	ADRB1
oxtriphylline	PDE3A|PDE4A|ADORA2A|ADORA1|HDAC2
fosphenytoin	SCN5A
polythiazide	SLC12A3
quinethazone	CA1|CA2|SLC12A1|SLC12A2|SLC12A3
metocurine	CHRNA2
pancuronium	CHRNA2
pipecuronium	CHRNA2
vecuronium	CHRNA2
cilazapril	ACE
quinidine barbiturate	GABRA1|GABRA2|SCN5A
spirapril	ACE
amobarbital	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
butethal	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
mestranol	ESR1
penbutolol	ADRB1|ADRB2|HTR1A
mephentermine	ADRA1A
procaterol	ADRB2
rasagiline	MAOB|BCL2
calcium	CACNA1C|ATP2C1|TNNC2|TNNC1
cortisone acetate	NR3C1
glycodiazine	KCNJ1
yohimbine	ADRA2A|ADRA2B|ADRA2C
bezafibrate	PPARA|PPARD|PPARG
colchicine	TUBB1|TUBB
drospirenone	PGR|NR3C2|AR
digitoxin	ATP1A1
magnesium salicylate	PTGS2|PTGS1
salsalate	PTGS2|PTGS1
neostigmine	ACHE
methotrimeprazine	DRD2
danazol	ESR1|AR|PGR|GNRHR
clenbuterol	ADRB2
tiotropium	CHRM3
ciclesonide	NR3C1
acenocoumarol	VKORC1
testosterone propionate	AR
ajmaline	SCN5A
amrinone	PDE3A
almitrine	ATP1A1
alfacalcidol	VDR
glutethimide	GABRA1|GABRA1
phenazopyridine	SCN1A
gamma-hydroxybutyric acid	SLC52A2|GABRB1
diamorphine	OPRM1
flunitrazepam	TSPO|GABRA2|GABRA4|GABRA5|GABRA6|GABRA3
bromazepam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ
clotiazepam	GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3
dextroamphetamine	SLC18A2|SLC6A2|SLC6A3
metamfetamine	SLC6A3|SLC6A4|SLC6A2|SLC18A2|SLC18A1|TAAR1|ADRA2A|ADRA2B|ADRA2C|MAOA|MAOB
phendimetrazine	ADRA1A|SLC6A2
oxprenolol	ADRB1
liotrix	THRA|THRB
ursodeoxycholic acid	AKR1C2
ketazolam	TSPO|GABRA1|GABRB1|GABRG1|GABRD|GABRE
prazepam	GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRA1
quazepam	GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|GABRB1|GABRB3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRA1
solifenacin	CHRM3
nitrazepam	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRG1|GABRG2|GABRG3|GABRD|GABRE|GABRP|GABRR1|GABRR2|GABRR3|GABRQ
cilastatin	DPEP1
probucol	ABCA1
tiaprofenic acid	PTGS2|PTGS1
periciazine	DRD1|ADRA2A
hydroxychloroquine	TLR7|TLR9
amyl nitrite	NPR1
erythrityl tetranitrate	NPR1|NPR2
alverine	HTR1A
molindone	DRD2
phenindamine	HRH1
pheniramine	HRH1
pipotiazine	DRD2|DRD1|HTR2A|HTR1A
thioproperazine	DRD2|HTR2A|HTR1A|ADRA1A|ADRA1B
thiothixene	DRD2|DRD1|HTR2A
zuclopenthixol	DRD1|DRD5|DRD2
isopropamide	CHRM3
pargyline	MAOB
etoricoxib	PTGS2
camphor	TRPV1|TRPV3|TRPA1|TRPM8
taurine	GRIN2B|GLRA2|GLRA3|GABRA1|GABBR1
vorinostat	HDAC1|HDAC2|HDAC3|HDAC6
terlipressin	AVPR2
doconexent	PPARA|PPARG|RXRA|RXRB|RXRG
dequalinium	XIAP
estriol	ESR1
estrone sulfate	ESR1
quinestrol	ESR1
nimesulide	PTGS2
rapacuronium	CHRM2
maraviroc	CCR5
clofedanol	HRH1
cyproterone acetate	AR
debrisoquin	SLC6A2
flunarizine	CACNA1G|CACNA1H|CACNA1I
fluspirilene	DRD2
mepenzolate	CHRM1|CHRM3
tetrabenazine	SLC18A2
ixabepilone	TUBB3
nebivolol	ADRB1
omacetaxine mepesuccinate	RPL3
nilotinib	ABL1
vildagliptin	DPP4
enoximone	PDE3A
bepotastine	HRH1
milnacipran	SLC6A4|SLC6A2
ximelagatran	F2
flibanserin	HTR1A|HTR2A|DRD4
permethrin	SCN1A
ospemifene	ESR1
iloperidone	HTR2A|DRD2
lofexidine	ADRA2A
indacaterol	ADRB2
methsuximide	CACNA1G
gallium nitrate	RRM2|ATP6V1B2|BGLAP|IL1B
rotigotine	DRD3|DRD4|DRD2
pimavanserin	HTR2A
histamine	HRH1|HRH2|HRH3
sodium stibogluconate	TOP1
abiraterone	CYP17A1
sertindole	DRD2|HTR2A|HTR2C|HTR6
acetylcysteine	GSS|SLC7A11
rimonabant	CNR1
icatibant	BDKRB2
alogliptin	DPP4
tapentadol	OPRM1|SLC6A2
silodosin	ADRA1A
prasugrel	P2RY12
tolvaptan	AVPR2
regadenoson	ADORA2A
asenapine	DRD2|HTR2A
rivaroxaban	F10
avanafil	PDE5A
droxidopa	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3
sitaxentan	EDNRA
alvimopan	OPRM1
temsirolimus	MTOR
amisulpride	DRD2|HTR7
dapagliflozin	SLC5A2
saxagliptin	DPP4
tyloxapol	LPL
pazopanib	FLT1|KDR|FLT4|PDGFRA|PDGFRB|KIT
agomelatine	HTR2C|MTNR1A|MTNR1B
apixaban	F10
bosutinib	BCR|ABL1
dalfampridine	KCNA1|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNA10|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCND1|KCND2|KCND3
mepyramine	HRH1
xylometazoline	ADRA1A|ADRA2A|ADRA2B
dabigatran etexilate	F2
betahistine	HRH1|HRH3
degarelix	GNRHR
desvenlafaxine	SLC6A4|SLC6A2
dexmethylphenidate	SLC6A3|SLC6A2
fesoterodine	CHRM3
isometheptene	ADRA1A|SLC18A2
levonordefrin	ADRA2A
methacholine	CHRM3
methyltestosterone	AR
naphazoline	ADRA1A|ADRA2A
norelgestromin	PGR
propylhexedrine	SLC18A2
fospropofol	GABRB2|GABRB3
lornoxicam	PTGS1|PTGS2
drotaverine	PDE4A
cabazitaxel	TUBA4A|TUBB1
carglumic acid	CPS1
difluprednate	NR3C1
methylnaltrexone	OPRM1
plerixafor	CXCR4
pralatrexate	DHFR|TYMS
parecoxib	PTGS2
antazoline	HRH1
dimetindene	HRH1|CHRM2
nandrolone decanoate	AR
dichloroacetic acid	PDK1
lurasidone	DRD2|HTR2A
ticagrelor	P2RY12
tafluprost	PTGFR
ivacaftor	CFTR
azilsartan medoxomil	AGTR1
lomitapide	MTTP
vismodegib	SMO
pitavastatin	HMGCR
fingolimod	S1PR5
ruxolitinib	JAK1|JAK2
vemurafenib	BRAF
linagliptin	DPP4
carfilzomib	PSMB5|PSMB8|PSMB1|PSMB9|PSMB2|PSMB10
linaclotide	GUCY2C
mirabegron	ADRB3
regorafenib	FLT1|KDR|FLT4|KIT|PDGFRA|PDGFRB|FGFR1|FGFR2|TEK|DDR2|NTRK1|EPHA2|RAF1|BRAF|MAPK11|FRK|ABL1|RET
aclidinium	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
enzalutamide	AR
ponatinib	ABL1|BCR
fluticasone furoate	NR3C1
canagliflozin	SLC5A2
pomalidomide	CRBN|TNF|PTGS2
trametinib	MAP2K1|MAP2K2
dabrafenib	BRAF|RAF1
afatinib	EGFR|ERBB2|ERBB4
levomilnacipran	SLC6A4|SLC6A2
macitentan	EDNRA|EDNRB
chlorcyclizine	HRH1
